,Rank,Name,Classification,Released games,Unreleased games,Total revenue,Avg revenue per game,Med revenue per game,HQ country,% developed in-house,% indie releases,Action,Casual,Adventure,Simulation,Strategy,RPG,MMO,Racing,Sports
0,1,Electronic Arts,AAA,167,2,3300000000.0,19700000.0,3100000.0,United States,2%,5%,48%,14%,24%,26%,24%,17%,2%,21%,23%
1,2,Ubisoft,AAA,180,2,2900000000.0,16399999.999999998,1500000.0,France,29%,4%,57%,12%,38%,13%,20%,14%,4%,9%,5%
2,3,2K,AAA,104,3,2700000000.0,26100000.0,1800000.0,United States,0%,5%,36%,5%,13%,22%,32%,17%,0%,1%,33%
3,4,Bandai Namc,AAA,145,8,2700000000.0,18400000.0,4200000.0,Japan,1%,5%,68%,16%,25%,9%,7%,30%,2%,3%,3%
4,5,Bethesda Softworks,AAA,68,0,2600000000.0,38800000.0,14800000.0,United States,4%,0%,72%,1%,12%,1%,1%,32%,1%,0%,0%
5,6,SEGA,AAA,169,9,2600000000.0,15500000.0,4800000.0,Japan,25%,8%,52%,9%,26%,17%,31%,17%,1%,6%,16%
6,7,Valve,AAA,40,1,2500000000.0,63300000.0,34900000.0,United States,35%,7%,73%,12%,12%,7%,10%,0%,0%,0%,0%
7,8,Capcom,AAA,98,1,2300000000.0,23800000.0,5300000.0,Japan,79%,1%,90%,3%,39%,0%,3%,12%,0%,0%,0%
8,9,Xbox Game Studios,AAA,60,8,2100000000.0,34400000.0,8100000.0,United States,0%,6%,59%,7%,44%,18%,19%,19%,0%,6%,1%
9,10,Feral Interactive,AA,44,0,2000000000.0,44400000.0,45700000.0,United Kingdom,43%,0%,84%,0%,43%,27%,57%,9%,0%,30%,27%
10,11,Rockstar Games,AAA,27,0,1900000000.0,70500000.0,11400000.0,United States,10%,0%,89%,0%,41%,0%,7%,0%,0%,7%,0%
11,12,Activision,AAA,82,1,1800000000.0,21500000.0,959000.0,United States,4%,0%,65%,2%,31%,7%,7%,7%,0%,1%,7%
12,13,PlayStation Publishing LLC,AAA,23,2,1500000000.0,64300000.0,30600000.0,United States,0%,8%,84%,8%,76%,0%,0%,28%,0%,0%,0%
13,14,Aspyr,AA,26,0,1400000000.0,54600000.0,6600000.0,United States,23%,8%,54%,12%,46%,19%,42%,19%,0%,0%,0%
14,15,Paradox Interactive,AA,83,4,1400000000.0,17000000.0,1700000.0,Sweden,0%,17%,15%,5%,14%,36%,77%,28%,0%,1%,3%
15,16,FromSoftware,AAA,6,1,1400000000.0,233400000.0,103600000.0,Japan,6%,0%,100%,0%,0%,0%,0%,57%,0%,0%,0%
16,17,CD PROJEKT RED,AA,9,0,1400000000.0,154200000.0,14100000.0,Poland,8%,11%,22%,0%,33%,0%,33%,67%,0%,0%,0%
17,18,"KRAFTON, Inc.",AA,8,4,1300000000.0,166000000.0,11200000.0,South Korea,2%,8%,75%,8%,42%,33%,33%,17%,8%,8%,0%
18,19,Square Enix,AAA,162,1,1100000000.0,7100000.0,1300000.0,Japan,96%,2%,45%,4%,27%,4%,9%,64%,3%,1%,0%
19,20,Larian Studios,AA,8,0,1100000000.0,135000000.0,9500000.0,Belgium,8%,25%,13%,0%,50%,0%,63%,100%,0%,0%,0%
20,21,Warner Bros. Games,AAA,17,0,1000000000.0,59400000.0,37800000.0,United States,0%,0%,94%,6%,29%,0%,0%,12%,0%,0%,6%
21,22,Game Science,Indie,2,0,958700000.0,479300000.0,958700000.0,China,2%,50%,50%,0%,50%,0%,50%,50%,0%,0%,0%
22,23,Focus Entertainment,AA,70,1,707400000.0,10100000.0,3000000.0,France,2%,24%,48%,6%,48%,18%,17%,35%,3%,1%,3%
23,24,Bohemia Interactive,AAA,31,2,702500000.0,22700000.0,375000.0,Czech Republic,21%,30%,55%,15%,33%,36%,42%,3%,3%,0%,0%
24,25,Deep Silver,AA,46,2,702000000.0,15300000.0,7100000.0,Germany,0%,8%,75%,4%,31%,13%,13%,8%,0%,2%,2%
25,26,Devolver Digital,AA,136,13,667400000.0,4900000.0,1000000.0,United States,0%,79%,70%,15%,50%,9%,10%,10%,1%,1%,4%
26,27,Warner Bros. Interactive Entertainment,AAA,40,0,663500000.0,16600000.000000002,10800000.0,United States,0%,0%,85%,8%,60%,0%,10%,3%,0%,3%,0%
27,28,Coffee Stain Publishing,AA,15,0,618400000.0,41200000.0,9500000.0,Sweden,0%,60%,40%,47%,40%,27%,40%,13%,0%,0%,0%
28,29,Snail Games USA,Indie,18,4,556200000.0,30900000.0,3100000.0,United States,5%,59%,73%,23%,68%,27%,18%,59%,45%,0%,0%
29,30,Studio Wildcard,AA,3,1,534400000.0,178100000.0,246100000.0,United States,4%,100%,100%,0%,100%,0%,25%,100%,100%,0%,0%
